score,tier,tracked,slug,display_name,youtube_url,youtube_handle,youtube_channel_id,youtube_type,parent_channel,tags,voditelji,subscribers,subscribers_as_of,episodes_estimate,first_episode,last_episode,avg_duration_min,frequency,status,tier_research,data_quality,sources,num_sources,score_activity,score_catalog,score_audience,score_format,score_substance,score_verification,score_recency,review_needed,review_reason,reason_disabled,permanently_excluded,candidate_phase,min_duration_override,notes
79,✅ strong,no,balkan-rules,Balkan Rules,,,,channel,,political; geopolitics,Danijal Hadžović,,,222,,2026-03,110,,active,2,verified,report; gemini,2,25,15,4,15,10,5,5,,,Treba pronaći i potvrditi YouTube URL prije dodavanja u pipeline.,,,,podcast.hr listed.
79,✅ strong,no,utakmicu-po-utakmicu,Utakmicu po utakmicu,https://www.youtube.com/playlist?list=PL279H2ix-v5XSH6m_QxPD2mygdBRXS-i5,,,playlist,MAXSport / gol.hr,sport; football,M. Pukšar; I. Ljubić,,,365,,2026-03,60,,active,1,verified,gemini,1,25,15,4,15,8,7,5,,,"Kandidat za dodavanje u pipeline. URL je poznat, treba verifikacija metapodataka i odluka o uključivanju.",,,,Integriran u MAXSport / gol.hr.
78,✅ strong,no,pametni-ljudi,Pametni ljudi,,,,channel,,business; education,,8000,2026-03,150,2017,2026-03,60,,active,1,verified,report; gemini,2,25,12,8,15,8,5,5,,,Treba pronaći i potvrditi YouTube URL prije dodavanja u pipeline.,,,,150+ različitih gostiju od 2017.
78,✅ strong,YES,tribina-fantasy,Tribina — Fantasy,https://www.youtube.com/playlist?list=PL04FaKq-cPterAiNwD8F4MGD4C5M09Rsx,,,playlist,Tribina,sport; football; fantasy,,,,100,,2026-05,95,,active,3,verified,yt-dlp-2026-05,1,25,12,4,15,10,7,5,,,,,,,"100 epizoda, prosjek 95 min. Fantasy nogomet."
78,✅ strong,YES,tribina-nba-kosarka,Tribina — NBA & košarka,https://www.youtube.com/playlist?list=PL04FaKq-cPtf8gN8ObbuxIOAsKvM2pMgJ,,,playlist,Tribina,sport; basketball; nba,,,,155,,2026-05,92,,active,3,verified,yt-dlp-2026-05,1,25,12,4,15,10,7,5,,,,,,,"155 epizoda, prosjek 92 min."
77,✅ strong,YES,f1-puls-podcast,F1 Puls Podcast,https://www.youtube.com/playlist?list=PL04FaKq-cPtfuBH24hDG-8cAdqAUkLGSD,,,playlist,Tribina,sport; f1; motorsport,Vetma; Andraka; Karlo Duvnjak,,,56,,2026-05,122,,active,3,verified,claude-opus; yt-dlp-2026-05,2,25,9,4,15,10,9,5,,,,,,,"F1 Puls Podcast (na Tribina kanalu). 56 epizoda, prosjek 122 min. Merge s postojecim f1-puls-podcast stub-om — popunjava URL i metadata."
76,✅ strong,no,ana-radisic-podcast,Ana Radišić Podcast,https://www.youtube.com/@ana.radisic,@ana.radisic,,channel,,talk-show; personal-development,Ana Radišić,10000,2026-04,145,2020,2026-04,45,,active,2,partial,claude-opus,1,25,12,11,15,7,1,5,,,,,,,Inspirativni intervjui.
76,✅ strong,no,dalmacija-podcast,Dalmacija Podcast,https://www.youtube.com/channel/UCAYpITaR1fJnM-JdPuO19Ew,,UCAYpITaR1fJnM-JdPuO19Ew,channel,,regional-media; lifestyle; culture,,3000,2026-04,50,2021-02,2026-04,45,,active,2,verified,claude-opus,1,25,9,8,15,7,7,5,,,Treba verifikacija YouTube kanala prije dodavanja.,,,,Mladi tim iz Trogira. Jedan od rijetkih pravih regionalnih hrvatskih podcasta (Dalmacija). Dalmacija/mladi/trendovi.
76,✅ strong,no,podcast-inkubator-extra-runda,Extra Runda,https://www.youtube.com/playlist?list=PLbOmR_aFrZfhSy15hANmq-pxd9HO1HWBU,@podcastinkubator,,playlist,,sport; mma,Marko Petrak; Hamby,,,134,,2026-03,90,,active,1,verified,report; gemini,2,25,12,4,15,10,5,5,,,Spinoff Podcast Inkubatora. Dio glavnog kanala.,,,,MMA / borilački sportovi unutar PI ekosustava.
76,✅ strong,no,podcast-inkubator-mysterium,Mysterium,https://www.youtube.com/playlist?list=PLbOmR_aFrZfhkXCRE-BRM8BD_3yT-mPr9,@podcastinkubator,,playlist,,geopolitics; mystery,Ratko Martinović; D. Pintarić,,,153,,2026-03,150,,active,1,verified,report; gemini,2,25,12,4,15,10,5,5,,,Spinoff Podcast Inkubatora — geopolitika i rubni društveni fenomeni. Potencijalno relevantno za DOMOVINA.tv tematiku.,,,,Iznimno popularan format — geopolitika i rubni fenomeni.
76,✅ strong,YES,netokracija-podcast,Netokracija — Netokracija Podcast,https://www.youtube.com/playlist?list=PLta2gH1s4UVQiPDg3lQ4v-3L2fJPvaU01,,,playlist,Netokracija (Office Talks),technology; digital; business; interview,,,,253,,2026-05,42,,active,1,verified,yt-dlp-2026-05,1,25,15,4,15,5,7,5,,,,,,,"Eksplicitno spomenut od korisnika. 253 epizode, prosjek 42 min."
76,✅ strong,YES,netokracija-office-talks,Netokracija — Office Talks Podcast,https://www.youtube.com/playlist?list=PLta2gH1s4UVQGCI3tveBnLsWIGhPdDktJ,,,playlist,Netokracija (Office Talks),technology; digital; business; interview,,,,289,,2026-05,41,,active,1,verified,yt-dlp-2026-05,1,25,15,4,15,5,7,5,,,,,,,"Eksplicitno spomenut od korisnika. 289 epizoda, prosjek 41 min. Najveca biblioteka pravih razgovora."
76,✅ strong,YES,podcast-bitno-net,Podcast Bitno.net-a,https://www.youtube.com/playlist?list=PLuxH86sIsJ-aHROAlz-GEWkN4mGPcCa11,,,playlist,Bitno.net,religious-catholic; evangelization,,,,50,,2026-03,60,,active,3,verified,current; report; gemini,3,25,9,4,15,8,10,5,,,,,,,Redovito ugošćuje redovnike i istaknute laike.
76,✅ strong,YES,tribina-podcast-s-gostom,Tribina — Podcast s gostom,https://www.youtube.com/playlist?list=PL04FaKq-cPtelZlOXnDayM0BhmZO0yE2P,,,playlist,Tribina,sport; football; interview,,,,159,,2026-03,81,,active,2,verified,yt-dlp-2026-05,1,25,12,4,15,8,7,5,,,,,,,"Glavni dugogodisnji intervju format Tribine. 159 epizoda, prosjek 81 min."
75,✅ strong,no,spica-s-macanom,Špica s Macanom,https://www.youtube.com/@SpicasMacanom,@SpicasMacanom,,channel,,political; society; economics,Krešimir Macan; Neven Kepeski,10000,2026-04,80,2023-06,2026-04,45,,active,1,verified,claude-opus,1,25,9,11,15,7,3,5,,,,,,,Profesionalizirani politički podcast s gostima suprotstavljenih stajališta. Centralni politički podcast po Claude Opus analizi.
75,✅ strong,YES,tribina-europski-nogomet,Tribina — Europski nogomet,https://www.youtube.com/playlist?list=PL04FaKq-cPtdaGptIP1BNtJJqQZEzuYSq,,,playlist,Tribina,sport; football,,,,52,,2026-05,101,,active,3,verified,yt-dlp-2026-05,1,25,9,4,15,10,7,5,,,,,,,"52 epizode, prosjek 101 min."
75,✅ strong,YES,tribina-nfl,Tribina — NFL,https://www.youtube.com/playlist?list=PL04FaKq-cPtcS32IHvq7uGSONZFD6vATG,,,playlist,Tribina,sport; nfl,,,,94,,2026-05,96,,active,3,verified,yt-dlp-2026-05,1,25,9,4,15,10,7,5,,,,,,,"94 epizode, prosjek 96 min."
74,✅ strong,no,tribina,Tribina,https://www.youtube.com/@Tribina_HR,@Tribina_HR,UCjTiZ9ebMJumhPMsciuevxg,umbrella,,sport; football,J. Korda; M. Topić,,,200,,2026-03,60,,active,2,verified,gemini,1,25,15,4,10,8,7,5,,,"Umbrella entry — sadrzaj se prati per-playlist child entries, ne direktno preko kanala.",,,,Umbrella entry za Tribina YouTube kanal. Sadrzaj se prati po per-playlist child entries (slugovi 'tribina-*' + 'f1-puls-podcast'). Ne prati se direktno — uvijek per-playlist.
73,✅ strong,YES,ad-deum-podcast,Ad Deum Podcast,https://www.youtube.com/@AdDeumPodcast/videos,@AdDeumPodcast,,channel,,religious-catholic,Fra Andrija Majić; Fra Ivo Rastočić,,,20,2023,2026-03,75,,active,3,verified,current; report; perplexity,3,25,6,4,15,8,10,5,,,,,,,"Katolički podcast s dugačkim razgovorima (60-90 min) s franjevcima, teolozima i laicima. Vrlo aktivan početkom 2026."
73,✅ strong,no,eduza-show,Eduza Show,https://www.youtube.com/channel/UCKPBjmgFMFR_WufZs3GLQwA,,UCKPBjmgFMFR_WufZs3GLQwA,channel,,business; education,Višnja Željeznjak; Saša Matijašić,2000,2026-04,50,2020-08,2026-04,45,,active,2,verified,claude-opus,1,25,9,5,15,7,7,5,,,Treba verifikacija prije dodavanja.,,,,Poslovno obrazovanje. Višnja Željeznjak je također povezana s ugašenim Logit projektom.
73,✅ strong,YES,popcast-pavicic,Popcast by Darko Pavičić,https://www.youtube.com/playlist?list=PLwkAZA40UDUK4aM2g8ee8qbIQnKY0XboU,,,playlist,Večernji TV,society; religious-catholic; culture,Darko Pavičić,,,40,,2026-03,60,,active,1,verified,current; report; gemini,3,25,6,4,15,8,10,5,,,,,,,Format Večernjeg lista. Sustavno obrađuje teme iz crkvenog i duhovnog života kroz duge intervjue (npr. don Damir Stojić).
73,✅ strong,YES,radio-mreznica,Radio Mrežnica (Podcast Mrežnica),https://www.youtube.com/@radiomreznica2174/videos,@radiomreznica2174,,channel,,regional-media; geopolitics,,,,,,2026-03,90,,active,3,verified,current; report; gemini,3,25,4,4,15,10,10,5,,,,,,,Gemini referencira kao 'Podcast Mrežnica' — geopolitika.
72,✅ strong,no,hcl-podcast,HCL Podcast,https://www.youtube.com/@HCLGamingPortal,@HCLGamingPortal,,channel,,gaming,Igor Belan; Zoran Žalac,2000,2026-04,50,2015-06,2025,60,,active,4,partial,report; gemini; perplexity; claude-opus,4,25,9,5,15,8,8,2,,,"Kandidat za dodavanje u pipeline. URL je poznat, treba verifikacija metapodataka i odluka o uključivanju.",,,,"RECLASSIFIED iz REJECTED u CANDIDATE u v1.1. Disputes: Gemini = nije podcast (no structured format identified, possible HCLTech mixup). Perplexity i Claude Opus = aktivan podcast, hosts Igor Belan i Zoran Žalac, ~50 ep podcast playlista, od 2015. HCL.hr je gaming portal s ~635K subs (Perplexity) na ukupnom kanalu, ali podcast je manji segment (~1-3K aktivnih po Claude Opus). Najstariji hrvatski gaming podcast."
72,✅ strong,YES,tribina-iza-tribine,Tribina — Iza Tribine,https://www.youtube.com/playlist?list=PL04FaKq-cPtcccVjeO9XJf-xDijj4KvKH,,,playlist,Tribina,sport; interview; behind-the-scenes,,,,37,,2026-05,113,,active,2,verified,yt-dlp-2026-05,1,25,6,4,15,10,7,5,,,,,,,"BTS dugi razgovori (NE klipovi). 37 epizoda, prosjek 113 min."
71,✅ strong,YES,mislav-kolakusic,Mislav Kolakušić,https://www.youtube.com/@mislavkolakusichr/videos,@mislavkolakusichr,,channel,,political,Mislav Kolakušić,59700,2026-03,,,,,,active,3,verified,current; report; gemini; perplexity; claude-opus,5,25,4,13,15,4,10,0,YES,"TRI nezavisna izvora (Gemini, Perplexity, Claude Opus) potvrđuju da kanal NE zadovoljava podcast definiciju. Gemini: kompilacije političkih govora, press konferencije, reemitiranja TV istupa. Perplexity: nema strukturirani autorski serijal. Claude Opus: 'gost na podcastima, nema vlastiti podcast'. PREPORUKA: disable iz pipeline-a.",,,,,Veliki broj pretplatnika ali konsenzus 3 nezavisna istraživanja je da nije nativni podcast format.
71,✅ strong,YES,mladi-za-domovinu,Mladi za Domovinu,https://www.youtube.com/@mladizadomovinu1074/videos,@mladizadomovinu1074,,channel,,religious-catholic; domoljubni; society,,,,,2023-02,2026-03,90,,active,3,partial,current; report; gemini,3,25,4,4,15,10,8,5,,,,,,,Gemini djelomično verificirao 03/2026.
71,✅ strong,no,tribina-euro-2024,Tribina — EURO 2024,https://www.youtube.com/playlist?list=PL04FaKq-cPteTOD8Vru6QfMEL8z1kEtqG,,,playlist,Tribina,sport; football; event-archive,,,,33,,2026-02,94,,archive,4,verified,yt-dlp-2026-05,1,25,6,4,15,10,7,4,,,"Event archive 2024 — zavrsen turnir, NE prati aktivno. 33 epizode, prosjek 94 min. Promote one-shot kasnije ako odlucimo.",,,,"Event archive 2024 — zavrsen turnir, NE prati aktivno. 33 epizode, prosjek 94 min. Promote one-shot kasnije ako odlucimo."
71,✅ strong,YES,tribina-qa,Tribina — Q&A,https://www.youtube.com/playlist?list=PL04FaKq-cPtfPUJYzWYxtgKWS7Jo5oWmj,,,playlist,Tribina,sport; qa,,,,26,,2026-01,219,,active,2,verified,yt-dlp-2026-05,1,25,6,4,15,10,7,4,,,,,,,"DESPITE name — 219 min prosjecna duzina znaci da su pune Q&A epizode, ne klipovi. 26 epizoda."
70,✅ strong,no,brodcast,Brodcast,https://www.youtube.com/@Brodcasteu,@Brodcasteu,,channel,,regional-media; society,Klara Tuličić Tenkai,1000,2026-04,30,2021-02,2026-04,45,,active,2,verified,claude-opus,1,25,6,5,15,7,7,5,,,Treba verifikacija prije dodavanja.,,,,REGIONALNI podcast iz Slavonskog Broda. Jedan od rijetkih regionalnih izvan Zagreba/Dalmacije. Tema: zajednica.
70,✅ strong,no,iza-okvira,Iza Okvira,https://www.youtube.com/@izaokvira4383,@izaokvira4383,,channel,,comedy; lifestyle,Karla Mihaljević; Ivan Franko,3000,2026-04,60,2021-11,2026-04,45,,active,2,partial,claude-opus,1,25,9,8,15,7,1,5,,,,,,,RIJETKA komedija/lifestyle niša. Karla Mihaljević je 'MihaTheTrash'.
70,✅ strong,no,nebitno-o-bitnom,Nebitno O Bitnom,https://www.youtube.com/@NebitnoOBitnom,@NebitnoOBitnom,,channel,,talk-show; lifestyle,,7500,2026-04,80,2021-05,2026-04,45,,active,2,partial,claude-opus,1,25,9,8,15,7,1,5,,,,,,,"Mladi tim, intervjui."
69,✅ strong,YES,tribina-reprezentacija,Tribina — Reprezentacija,https://www.youtube.com/playlist?list=PL04FaKq-cPtcCPfByXSVDupDX8T97QRU3,,,playlist,Tribina,sport; football; reprezentacija,,,,19,,2026-04,110,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,10,7,5,,,,,,,"19 epizoda, prosjek 110 min."
69,✅ strong,no,tribina-sp-qatar-2022,Tribina — SP Qatar 2022,https://www.youtube.com/playlist?list=PL04FaKq-cPtcQtqRw96SiQkKRTwqVTvsU,,,playlist,Tribina,sport; football; event-archive,,,,36,,2026-02,86,,archive,4,verified,yt-dlp-2026-05,1,25,6,4,15,8,7,4,,,"Event archive 2022. 36 epizoda, prosjek 86 min.",,,,"Event archive 2022. 36 epizoda, prosjek 86 min."
69,✅ strong,no,tribina-sp-rusija-2018,Tribina — SP Rusija 2018,https://www.youtube.com/playlist?list=PL04FaKq-cPtf-Q2F8Ssi9izyoJR_WweuN,,,playlist,Tribina,sport; football; event-archive,,,,70,,2026-02,33,,archive,4,verified,yt-dlp-2026-05,1,25,9,4,15,5,7,4,,,"Event archive 2018. 70 epizoda, prosjek 33 min.",,,,"Event archive 2018. 70 epizoda, prosjek 33 min."
69,✅ strong,no,tribina-uefa-euro-2020,Tribina — UEFA Euro 2020,https://www.youtube.com/playlist?list=PL04FaKq-cPtdiB3ijYeAzn8Gji6PBJpuP,,,playlist,Tribina,sport; football; event-archive,,,,34,,2026-02,84,,archive,4,verified,yt-dlp-2026-05,1,25,6,4,15,8,7,4,,,"Event archive 2021. 34 epizode, prosjek 84 min.",,,,"Event archive 2021. 34 epizode, prosjek 84 min."
69,✅ strong,YES,tribina-weitzermania,Tribina — WeitzerMania,https://www.youtube.com/playlist?list=PL04FaKq-cPtfH9CoO9QhpD2k7icuPmTRu,,,playlist,Tribina,sport; interview,,,,6,,2026-04,123,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,10,7,5,,,,,,,"Long-form (123m prosjek), 6 epizoda. Named-host format."
68,✅ strong,no,babyroom-podcast,BabyRoom Podcast,,,,channel,,parenting,,10000,2025-11,100,2019,,,,active,1,partial,report,1,25,12,11,15,4,1,0,,,Treba pronaći i potvrditi YouTube URL prije dodavanja u pipeline.,,,,
68,✅ strong,no,superhuman-life,Superhuman Life,https://www.youtube.com/c/Superhumanlife,@Superhumanlife,,channel,,personal-development,,25000,2025-11,100,2021,,,,active,1,partial,report,1,25,12,11,15,4,1,0,,,,,,,
68,✅ strong,YES,tribina-nize-lige-specijal,Tribina — Niže lige specijal,https://www.youtube.com/playlist?list=PL04FaKq-cPtcu0Fb6mfx3RCx8Ic6RSKjn,,,playlist,Tribina,sport; football,,,,14,,2026-02,108,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,10,7,4,,,,,,,"14 epizoda, prosjek 108 min."
67,✅ strong,YES,hcpi-podcast,HCPI Podcast - Potresne priče,https://www.youtube.com/playlist?list=PLsugSPwJmdWkkNCOh36nDbakuctPmPmSn,@hrvatskicentarzapotresnoin1185,UCbLvhVq9E9rn9lpJTpvCT-A,playlist,Hrvatski centar za potresno inženjerstvo,education; science; engineering,,,,2,,2026-04,73,,active,4,verified,current; yt-dlp-2026-05,2,25,1,4,15,8,9,5,,,,,,,"Edukativni podcast Hrvatskog centra za potresno inženjerstvo — ""Prvi podcast kojeg vodi inženjer građevinarstva"". 2 epizode (Ep1, Ep2), prosjek 73 min. Aktivan (mod 2026-04). U pipelineu od ranije (refresh_podcasts.sh) ali bez registry entry-ja — popunjeno 2026-05-20."
67,✅ strong,no,ideje-hr,Ideje.hr,https://www.youtube.com/playlist?list=PLDOWbnwbQ5EPNDIGHuzvnPVlbDhIC3YdZ,,,playlist,,political; philosophy; science,Domagoj Novokmet,,,60,2025,2026-04,60,,active,2,partial,claude-opus,1,25,9,4,15,8,1,5,,,,,,,NOVI intelektualni podcast (pokrenut 2025). Politika/filozofija/znanost. Brzo dosegao 60 epizoda.
67,✅ strong,YES,netokracija-slazem-se-ne,Netokracija — Slažem se...Ne!,https://www.youtube.com/playlist?list=PLta2gH1s4UVRJGcObAmHkoYpkw0waxVr1,,,playlist,Netokracija (Office Talks),technology; digital; debate,,,,9,,2026-05,65,,active,3,verified,yt-dlp-2026-05,1,25,3,4,15,8,7,5,,,,,,,"Long-form debate format. 9 epizoda, prosjek 65 min."
